ID,AGE,WORKCLASS,FNLWGT,EDUCATION,EDUCATION_NUM,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,SEX,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME
184,40,"Private",286370,"7th-8th",4,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"large"
192,24,"Private",159567,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"small"
196,23,"Private",197387,"5th-6th",3,"Married-civ-spouse","Transport-moving","Other-relative","White","Male",0,0,40,"small"
200,24,"Self-emp-not-inc",32921,"HS-grad",9,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"small"
204,42,"Local-gov",254817,"Some-college",10,"Never-married","Prof-specialty","Not-in-family","White","Female",0,1340,40,"small"
208,35,"Private",36270,"HS-grad",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,60,"small"
212,37,"Private",208358,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"large"
216,37,"Private",635913,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","Black","Male",0,0,60,"large"
220,25,"Private",255004,"10th",6,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"small"
224,54,"Private",176681,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","Black","Male",0,0,20,"small"
228,66,"Self-emp-not-inc",167687,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",1409,0,50,"small"
232,41,"Private",130408,"HS-grad",9,"Divorced","Sales","Unmarried","Black","Female",0,0,38,"small"
236,59,"State-gov",268700,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"small"
240,23,"Private",115458,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"small"
248,32,"Private",183916,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,34,"small"
252,42,"Private",390781,"Bachelors",13,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"small"
256,42,"Self-emp-not-inc",303044,"HS-grad",9,"Married-civ-spouse","Farming-fishing","Husband","Asian-Pac-Islander","Male",0,0,40,"large"
260,50,"Private",204518,"7th-8th",4,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,40,"small"
264,59,"Private",146013,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",4064,0,40,"small"
268,64,"Private",21174,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"large"
272,17,"Private",191260,"9th",5,"Never-married","Other-service","Own-child","White","Male",1055,0,24,"small"
276,43,"Private",477983,"HS-grad",9,"Married-civ-spouse","Handlers-cleaners","Husband","Black","Male",0,0,40,"small"
280,24,"Private",279472,"Some-college",10,"Married-civ-spouse","Machine-op-inspct","Wife","White","Female",7298,0,48,"large"
284,60,"Private",173960,"Bachelors",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,42,"small"
288,50,"Private",176609,"Some-college",10,"Divorced","Other-service","Not-in-family","White","Male",0,0,45,"small"
292,31,"Private",127595,"HS-grad",9,"Divorced","Prof-specialty","Not-in-family","White","Female",0,0,40,"small"
296,65,"Private",111095,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,16,"small"
300,38,"Private",169469,"HS-grad",9,"Divorced","Sales","Not-in-family","White","Male",0,0,80,"small"
304,55,"Private",238638,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",4386,0,40,"large"
308,46,"Private",83082,"Assoc-acdm",12,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,33,"small"
312,34,"Private",142897,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male",7298,0,35,"large"
316,24,"Private",191954,"Some-college",10,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"small"
320,62,"Private",159841,"HS-grad",9,"Widowed","Other-service","Not-in-family","White","Female",0,0,24,"small"
324,29,"Private",200381,"11th",7,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,40,"small"
328,43,"Private",187728,"Some-college",10,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1887,50,"large"
332,26,"Private",224563,"Bachelors",13,"Never-married","Adm-clerical","Not-in-family","White","Male",0,0,40,"small"
336,17,"Private",270942,"5th-6th",3,"Never-married","Other-service","Other-relative","White","Male",0,0,48,"small"
340,45,"Private",261192,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","Black","Male",0,0,40,"small"
344,33,"Private",85043,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","White","Male",0,0,20,"small"
352,26,"Private",192262,"HS-grad",9,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"small"
356,38,"Federal-gov",95432,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Husband","White","Male",0,0,40,"large"
360,26,"Self-emp-not-inc",117125,"9th",5,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"small"
364,43,"Private",174575,"Bachelors",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,1564,45,"large"
368,22,"Private",362589,"Assoc-acdm",12,"Never-married","Sales","Not-in-family","White","Female",0,0,15,"small"
372,17,"Private",89821,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,10,"small"
376,20,"Local-gov",350845,"Some-college",10,"Never-married","Adm-clerical","Own-child","White","Female",0,0,10,"small"
380,38,"Private",172927,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"small"
384,46,"Private",108699,"Some-college",10,"Divorced","Sales","Not-in-family","White","Female",0,0,40,"small"
388,44,"Private",162028,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2415,6,"large"
392,27,"Private",301302,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,50,"small"
396,44,"Private",115562,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"small"
400,52,"Self-emp-inc",132178,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,50,"large"
404,34,"Private",227689,"Assoc-voc",11,"Divorced","Tech-support","Not-in-family","White","Female",0,0,64,"small"
408,46,"Self-emp-not-inc",317253,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,25,"small"
412,24,"Private",241951,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,40,"small"
416,35,"Private",92440,"12th",8,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,50,"large"
420,34,"State-gov",240283,"HS-grad",9,"Divorced","Transport-moving","Unmarried","White","Female",0,0,40,"small"
424,29,"Private",188401,"HS-grad",9,"Divorced","Farming-fishing","Not-in-family","White","Male",0,0,40,"small"
428,23,"Private",204653,"HS-grad",9,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,0,72,"small"
436,33,"Private",208405,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"large"
440,42,"Local-gov",340148,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"small"
444,44,"Private",116632,"Some-college",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"large"
448,51,"Private",56915,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Amer-Indian-Eskimo","Male",0,0,40,"small"
452,45,"Self-emp-inc",197332,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,55,"large"
456,40,"Private",72887,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","Asian-Pac-Islander","Male",0,0,40,"large"
464,50,"Private",193374,"1st-4th",2,"Married-spouse-absent","Craft-repair","Unmarried","White","Male",0,0,40,"small"
468,38,"Private",33983,"Some-college",10,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,40,"small"
476,46,"Private",279196,"Bachelors",13,"Never-married","Craft-repair","Not-in-family","White","Female",0,0,40,"small"
480,23,"Private",197904,"HS-grad",9,"Never-married","Other-service","Unmarried","White","Female",0,0,35,"small"
484,41,"Private",193626,"HS-grad",9,"Married-spouse-absent","Craft-repair","Unmarried","White","Female",0,0,40,"small"
488,59,"Local-gov",286967,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,45,"small"
492,46,"Federal-gov",371373,"HS-grad",9,"Divorced","Adm-clerical","Not-in-family","White","Male",0,0,40,"small"
496,41,"Private",343121,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,36,"small"
504,58,"Private",180980,"Some-college",10,"Divorced","Other-service","Unmarried","White","Female",0,0,42,"small"
508,43,"Private",112131,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"small"
520,34,"Private",108116,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,50,"large"
524,37,"Local-gov",186035,"Some-college",10,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,45,"large"
528,74,"Private",99183,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,9,"small"
532,26,"Private",108658,"HS-grad",9,"Never-married","Machine-op-inspct","Not-in-family","White","Male",0,0,40,"small"
536,39,"Local-gov",207853,"12th",8,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,50,"small"
544,27,"Private",163862,"HS-grad",9,"Never-married","Transport-moving","Not-in-family","White","Male",0,0,40,"small"
548,35,"Local-gov",233327,"Some-college",10,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,0,40,"small"
552,36,"Self-emp-not-inc",27053,"HS-grad",9,"Separated","Other-service","Unmarried","White","Female",0,0,40,"small"
556,69,"Private",136218,"11th",7,"Never-married","Machine-op-inspct","Not-in-family","White","Female",0,0,40,"small"
560,30,"Private",152453,"11th",7,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"small"
564,24,"Private",82804,"HS-grad",9,"Never-married","Handlers-cleaners","Unmarried","Black","Female",0,0,40,"small"
568,45,"Private",433665,"7th-8th",4,"Separated","Other-service","Unmarried","White","Female",0,0,40,"small"
572,51,"Private",95469,"HS-grad",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"small"
576,29,"Private",350162,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Male",0,0,40,"large"
580,26,"Self-emp-not-inc",86646,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,45,"small"
584,27,"Private",181659,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"small"
588,18,"Private",156764,"11th",7,"Never-married","Other-service","Own-child","White","Male",0,0,40,"small"
596,27,"Private",267147,"HS-grad",9,"Never-married","Sales","Own-child","White","Male",0,0,40,"small"
600,49,"Private",136455,"Bachelors",13,"Never-married","Prof-specialty","Not-in-family","White","Female",0,0,45,"small"
604,42,"Local-gov",175674,"9th",5,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"small"
608,29,"Private",182521,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","Amer-Indian-Eskimo","Male",0,0,40,"small"
612,24,"Private",247564,"HS-grad",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,0,40,"small"
616,39,"Private",207824,"HS-grad",9,"Never-married","Handlers-cleaners","Own-child","White","Male",0,0,60,"small"
620,46,"Private",102388,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",15024,0,45,"large"
624,29,"Private",34383,"Assoc-voc",11,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,55,"small"
628,38,"Self-emp-not-inc",267556,"HS-grad",9,"Married-civ-spouse","Sales","Husband","White","Male",0,0,64,"small"
632,49,"Local-gov",120451,"10th",6,"Separated","Other-service","Unmarried","Black","Female",0,0,40,"small"
636,19,"Private",262601,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,14,"small"
640,52,"Self-emp-not-inc",289436,"Doctorate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,60,"large"
644,36,"Private",188563,"Some-college",10,"Married-civ-spouse","Sales","Husband","White","Male",5178,0,50,"large"
648,71,"Private",78277,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,15,"small"
652,24,"Private",556660,"HS-grad",9,"Never-married","Exec-managerial","Other-relative","White","Male",4101,0,50,"small"
656,29,"State-gov",71592,"Some-college",10,"Never-married","Adm-clerical","Unmarried","Asian-Pac-Islander","Female",0,0,40,"small"
660,43,"Private",174524,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"large"
664,43,"Local-gov",194360,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,0,38,"small"
668,42,"Private",247019,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","Black","Male",0,0,40,"large"
676,22,"Private",240817,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",2597,0,40,"small"
680,58,"Self-emp-not-inc",204021,"HS-grad",9,"Widowed","Exec-managerial","Not-in-family","White","Male",0,0,50,"small"
684,23,"Local-gov",430828,"Some-college",10,"Separated","Exec-managerial","Unmarried","Black","Male",0,0,40,"small"
688,45,"Local-gov",86644,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,0,55,"small"
692,24,"Private",140027,"Some-college",10,"Never-married","Machine-op-inspct","Own-child","Black","Female",0,0,45,"small"
700,19,"Private",475028,"HS-grad",9,"Never-married","Sales","Own-child","White","Female",0,0,20,"small"
704,31,"Self-emp-not-inc",80145,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,40,"small"
708,45,"Private",242552,"Some-college",10,"Never-married","Sales","Not-in-family","Black","Male",0,0,40,"small"
712,36,"Private",70282,"Some-college",10,"Divorced","Adm-clerical","Unmarried","Black","Female",0,0,40,"small"
716,31,"Private",295697,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,40,"small"
720,34,"Private",217460,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"large"
724,50,"Local-gov",50459,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,42,"large"
728,20,"Private",299047,"Some-college",10,"Never-married","Other-service","Not-in-family","White","Female",0,0,20,"small"
732,55,"Private",173093,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","Asian-Pac-Islander","Female",0,0,40,"small"
736,35,"Private",234901,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",2407,0,40,"small"
740,42,"Private",279914,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"large"
744,26,"Private",112847,"Assoc-voc",11,"Never-married","Tech-support","Own-child","White","Male",0,0,40,"small"
748,32,"Private",267736,"Some-college",10,"Never-married","Adm-clerical","Own-child","Black","Female",0,0,40,"small"
752,22,"Private",223515,"Bachelors",13,"Never-married","Prof-specialty","Unmarried","White","Male",0,0,20,"small"
756,27,"Private",31757,"Assoc-voc",11,"Never-married","Craft-repair","Own-child","White","Male",0,0,38,"small"
760,37,"Private",103408,"HS-grad",9,"Never-married","Farming-fishing","Not-in-family","Black","Male",0,0,40,"small"
764,53,"Self-emp-inc",128272,"Doctorate",16,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"large"
768,22,"Private",151790,"Some-college",10,"Married-civ-spouse","Sales","Wife","White","Female",0,0,30,"small"
772,37,"Private",327323,"5th-6th",3,"Separated","Farming-fishing","Not-in-family","White","Male",0,0,32,"small"
776,23,"Local-gov",282579,"Assoc-voc",11,"Divorced","Tech-support","Not-in-family","White","Male",0,0,56,"small"
780,54,"Private",279129,"Some-college",10,"Never-married","Tech-support","Not-in-family","White","Male",0,0,40,"small"
784,41,"Self-emp-not-inc",49572,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"small"
788,18,"Private",231193,"12th",8,"Never-married","Machine-op-inspct","Own-child","White","Male",0,0,30,"small"
792,41,"Self-emp-inc",32185,"Bachelors",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"small"
796,22,"Private",162343,"Some-college",10,"Never-married","Other-service","Other-relative","Black","Male",0,0,20,"small"
800,43,"Private",274363,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1902,40,"large"
804,31,"Private",51471,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,38,"small"
808,33,"Private",169879,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",3103,0,47,"large"
816,47,"Self-emp-not-inc",93208,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,75,"small"
820,47,"Private",191277,"HS-grad",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,0,50,"large"
824,30,"Private",129227,"HS-grad",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,0,40,"small"
828,39,"Private",680390,"HS-grad",9,"Separated","Machine-op-inspct","Unmarried","White","Female",0,0,24,"small"
832,53,"Private",194259,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",4386,0,40,"large"
836,55,"Private",105304,"HS-grad",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"small"
840,63,"Private",86108,"HS-grad",9,"Widowed","Farming-fishing","Not-in-family","White","Male",0,0,6,"small"
844,62,"Local-gov",291175,"Bachelors",13,"Widowed","Prof-specialty","Not-in-family","White","Female",0,0,48,"small"
848,37,"Private",86551,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,45,"large"
852,26,"Private",90980,"Assoc-voc",11,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,55,"small"
856,34,"Private",111567,"HS-grad",9,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"small"
860,49,"Private",38563,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,0,56,"large"
864,28,"Self-emp-inc",142712,"Some-college",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,70,"small"
868,17,"Private",368700,"11th",7,"Never-married","Sales","Own-child","White","Male",0,0,28,"small"
872,24,"Private",121313,"Some-college",10,"Never-married","Transport-moving","Own-child","White","Male",0,0,50,"small"
876,41,"Private",194636,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"large"
880,19,"Private",376540,"HS-grad",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,0,30,"small"
884,38,"Private",95336,"Bachelors",13,"Married-civ-spouse","Sales","Husband","White","Male",0,0,50,"large"
888,33,"Self-emp-inc",155781,"Some-college",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,60,"small"
892,35,"Self-emp-not-inc",372525,"Bachelors",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,0,40,"small"
896,40,"Private",170108,"Masters",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,0,40,"small"
900,28,"Private",109165,"HS-grad",9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,0,40,"small"
908,24,"Private",202570,"Bachelors",13,"Never-married","Prof-specialty","Own-child","Black","Male",0,0,15,"small"
912,38,"Private",278924,"Some-college",10,"Divorced","Craft-repair","Not-in-family","White","Male",0,0,44,"small"
916,39,"Private",202027,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,45,"large"
920,21,"Private",186648,"Some-college",10,"Never-married","Other-service","Own-child","White","Male",0,0,20,"small"
924,38,"Private",97083,"Some-college",10,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,0,40,"small"
928,51,"Private",138022,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,60,"large"
936,37,"Private",176900,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,99,"large"
940,31,"Private",111567,"Bachelors",13,"Never-married","Sales","Not-in-family","White","Male",0,0,40,"large"
944,18,"Private",293227,"HS-grad",9,"Never-married","Other-service","Not-in-family","White","Female",0,0,45,"small"
948,36,"Self-emp-inc",108293,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1977,45,"large"
952,43,"Private",227065,"Masters",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,43,"large"
956,41,"Private",239683,"10th",6,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,30,"small"
960,42,"Private",176286,"Assoc-acdm",12,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"large"
964,36,"Private",526968,"10th",6,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"small"
968,55,"Self-emp-not-inc",189721,"HS-grad",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,0,20,"small"
972,28,"Private",161538,"Bachelors",13,"Never-married","Tech-support","Not-in-family","White","Female",0,0,35,"small"
976,25,"Private",178326,"Some-college",10,"Never-married","Sales","Not-in-family","White","Female",0,0,40,"small"
980,34,"Private",159929,"HS-grad",9,"Divorced","Handlers-cleaners","Own-child","White","Male",0,0,40,"small"
984,60,"Self-emp-not-inc",154474,"HS-grad",9,"Never-married","Farming-fishing","Unmarried","White","Male",0,0,42,"small"
988,47,"Private",335973,"HS-grad",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,0,40,"small"
992,41,"Private",194636,"Assoc-voc",11,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,0,40,"small"
996,56,"Private",112840,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"large"
1000,39,"Self-emp-inc",329980,"Bachelors",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",15024,0,50,"large"
1004,23,"Local-gov",115244,"Bachelors",13,"Never-married","Prof-specialty","Own-child","White","Female",0,0,60,"small"
1008,39,"Self-emp-inc",180804,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,40,"large"
1012,34,"Private",124827,"Assoc-voc",11,"Never-married","Transport-moving","Own-child","White","Male",0,0,40,"small"
1016,48,"Private",107373,"7th-8th",4,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,0,40,"small"
1024,34,"Private",33117,"Some-college",10,"Married-civ-spouse","Other-service","Husband","White","Male",0,0,40,"small"
1028,45,"Private",368561,"HS-grad",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,0,55,"large"
1032,20,"State-gov",223515,"Assoc-acdm",12,"Never-married","Other-service","Own-child","White","Male",0,1719,20,"small"
